,task_id,experiment,source,difficulty,alpha,informative_d,noise_d,p,method,ari_mean,ari_se,topk_hits_mean,topk_hits_se,time_mean,time_se,B,n_per_cluster
163,0,moon_1000,moon-donut,hard,1.2,10,990,1000,split_cloc,0.0013259290446958427,0.0003307794114919927,0.0,0.0,354.4394490256527,0.7106642552733811,5000,200
164,0,moon_1000,moon-donut,hard,1.2,10,990,1000,cloc,0.0006911535578254786,0.0003542156329492603,0.015000000000000003,0.008191780219091253,124.41746409514744,0.3638346481294134,5000,200
165,0,moon_1000,moon-donut,hard,1.2,10,990,1000,rampart,-0.0002729462484467131,0.00022079055847925384,0.0,0.0,224.18813808045235,1.21395713408347,5000,200
166,0,moon_1000,moon-donut,hard,1.2,10,990,1000,perm,0.0006911535578254786,0.0003542156329492603,0.01,0.010000000000000002,1417.8810474711966,4.191916553976709,5000,200
167,0,moon_1000,moon-donut,hard,1.2,10,990,1000,cshap,0.0016005961831744484,0.0005350537125719078,0.10000000000000002,3.1837828744296875e-18,13.586298666952644,0.11774352618554411,5000,200
168,0,moon_20,moon-donut,easy,2.4,10,10,20,pbfi,0.4808404186050554,0.044606975827139614,0.7100000000000002,0.04285839597165481,0.007967992455814966,0.0003699056523253116,5000,200
169,0,moon_20,moon-donut,easy,2.4,10,10,20,lrp,0.4808404186050554,0.044606975827139614,0.985,0.01094243309804831,0.46950837709882765,0.09837676403381096,5000,200
170,0,moon_20,moon-donut,easy,2.4,10,10,20,impacc,0.8429002672885734,0.03477355632102214,0.57,0.03980214223274659,8.473631505088997,0.1562883321638106,5000,200
171,0,moon_20,moon-donut,easy,2.4,10,10,20,split_cloc,0.4808404186050554,0.044606975827139614,0.58,0.030435436410107288,2.104076389054535,0.13813679937168616,5000,200
172,0,moon_20,moon-donut,easy,2.4,10,10,20,cloc,0.5628073610144668,0.04288411315231607,0.97,0.01791794161110442,26.383874097952503,0.2031723414080434,5000,200
173,0,moon_20,moon-donut,easy,2.4,10,10,20,rampart,0.9408078714263383,0.02330652198505831,0.9949999999999999,0.004999999999999998,67.04094803249754,0.3820663520028912,5000,200
174,0,moon_20,moon-donut,easy,2.4,10,10,20,perm,0.5628073610144668,0.04288411315231607,0.5449999999999999,0.029446651136553616,8.674265609649591,0.13602971650270138,5000,200
175,0,moon_20,moon-donut,easy,2.4,10,10,20,cshap,0.2447119644379689,0.01220115243232221,0.45999999999999996,0.027529888064467406,3.1758902911067706,0.11939695548512762,5000,200
176,0,moon_20,moon-donut,hard,1.2,10,10,20,pbfi,0.1705823203565489,0.02094566915540011,0.45999999999999996,0.04000000000000001,0.008335582097060978,0.0004240427304892779,5000,200
177,0,moon_20,moon-donut,hard,1.2,10,10,20,lrp,0.1705823203565489,0.02094566915540011,0.825,0.025000000000000005,0.37448809485067613,0.013977935300285805,5000,200
178,0,moon_20,moon-donut,hard,1.2,10,10,20,impacc,0.15894199181322152,0.03573915667697256,0.3,0.03162277660168379,8.557764256253723,0.09110162799811987,5000,200
179,0,moon_20,moon-donut,hard,1.2,10,10,20,split_cloc,0.1705823203565489,0.02094566915540011,0.62,0.027720408594239354,2.2220231370971306,0.12959839873988258,5000,200
180,0,moon_20,moon-donut,hard,1.2,10,10,20,cloc,0.22554836321765862,0.022437997377565737,0.835,0.03925289127802194,24.933651818946238,0.18624336874041558,5000,200
181,0,moon_20,moon-donut,hard,1.2,10,10,20,rampart,0.7310843200714942,0.062289368419882966,0.8850000000000001,0.02741014026731137,60.71648673365125,0.362269212052707,5000,200
182,0,moon_20,moon-donut,hard,1.2,10,10,20,perm,0.22554836321765862,0.022437997377565737,0.5099999999999999,0.03762697800361079,8.60928439575655,0.11009529994114653,5000,200
183,0,moon_20,moon-donut,hard,1.2,10,10,20,cshap,0.1128962489371663,0.012649604110329551,0.36,0.04255027985559524,3.3439454591978572,0.10167227209572209,5000,200
184,0,moon_200,moon-donut,easy,2.4,10,190,200,pbfi,0.29267443903549306,0.03271781430619412,0.66,0.06341177044980646,0.032427776107215325,0.0009975473567631296,5000,200
185,0,moon_200,moon-donut,easy,2.4,10,190,200,lrp,0.29267443903549306,0.03271781430619412,1.0,0.0,0.5127563239948358,0.09335625387552379,5000,200
186,0,moon_200,moon-donut,easy,2.4,10,190,200,impacc,0.5079326109320507,0.05974068464531966,0.5299999999999999,0.03913539251583432,7.771866769902408,0.25964552865150825,5000,200
187,0,moon_200,moon-donut,easy,2.4,10,190,200,split_cloc,0.29267443903549306,0.03271781430619412,0.3,0.03554093266554555,33.739269253244856,0.18776806790105208,5000,200
188,0,moon_200,moon-donut,easy,2.4,10,190,200,cloc,0.1955301569415874,0.01946795466820873,0.7150000000000001,0.0364727728298074,40.60720102174673,0.2901513281274234,5000,200
189,0,moon_200,moon-donut,easy,2.4,10,190,200,rampart,0.8422024411079455,0.03624119329536671,0.93,0.017917941611104413,124.65571590575273,1.093562294414651,5000,200
190,0,moon_200,moon-donut,easy,2.4,10,190,200,perm,0.1955301569415874,0.01946795466820873,0.165,0.028353965655989855,123.7773198409006,0.9731741390191986,5000,200
191,0,moon_200,moon-donut,easy,2.4,10,190,200,cshap,0.2088594963970604,0.01627455996611175,0.19500000000000003,0.004999999999999999,4.427722481699311,0.09533065960248682,5000,200
192,0,moon_200,moon-donut,hard,1.2,10,190,200,pbfi,0.014386650310865504,0.006059881653246104,0.030000000000000006,0.014689774459950383,0.03511684430122841,0.0015862325163429546,5000,200
193,0,moon_200,moon-donut,hard,1.2,10,190,200,lrp,0.014386650310865504,0.006059881653246104,0.6100000000000001,0.05844475574150525,0.44627751379739494,0.03781288344871478,5000,200
194,0,moon_200,moon-donut,hard,1.2,10,190,200,impacc,0.25540615827573,0.02606727997615092,0.575,0.033931044626914805,8.61115080100717,0.14071815905174542,5000,200
195,0,moon_200,moon-donut,hard,1.2,10,190,200,split_cloc,0.014386650310865504,0.006059881653246104,0.09500000000000001,0.01846048411294272,35.60062836260768,0.31345582872047145,5000,200
196,0,moon_200,moon-donut,hard,1.2,10,190,200,cloc,0.010153418858439345,0.003449085996930226,0.095,0.03439323678925997,42.70420779319538,0.24276788827807008,5000,200
197,0,moon_200,moon-donut,hard,1.2,10,190,200,rampart,0.0826239620029708,0.04385147550376186,0.145,0.06588466797126787,120.79290524229873,0.8442936423289588,5000,200
198,0,moon_200,moon-donut,hard,1.2,10,190,200,perm,0.010153418858439345,0.003449085996930226,0.02,0.00917662935482247,131.90151666909804,0.6397779923907261,5000,200
199,0,moon_200,moon-donut,hard,1.2,10,190,200,cshap,0.016483652609999816,0.006379967698980327,0.19500000000000003,0.004999999999999999,4.8630827188550025,0.13457908459832993,5000,200
200,0,moon_50,moon-donut,easy,2.4,10,40,50,pbfi,0.40629520836378435,0.04186179895731218,0.68,0.04622598950009787,0.012250369106186553,0.0005842113327460283,5000,200
201,0,moon_50,moon-donut,easy,2.4,10,40,50,lrp,0.40629520836378435,0.04186179895731218,0.9949999999999999,0.004999999999999998,0.48666442394896875,0.09600315016884071,5000,200
202,0,moon_50,moon-donut,easy,2.4,10,40,50,impacc,0.6495421481206188,0.04842915378765332,0.595,0.04892260267638649,7.631290778299444,0.20764894174542314,5000,200
203,0,moon_50,moon-donut,easy,2.4,10,40,50,split_cloc,0.40629520836378435,0.04186179895731218,0.43999999999999995,0.04000000000000001,5.918778181800735,0.1539193106136436,5000,200
204,0,moon_50,moon-donut,easy,2.4,10,40,50,cloc,0.3436381747346181,0.03155883065307408,0.925,0.019022147756317054,28.998351458404795,0.10784380286244863,5000,200
205,0,moon_50,moon-donut,easy,2.4,10,40,50,rampart,0.8134238318177426,0.040941783436147655,0.985,0.00819178021909125,81.54841672570038,0.3356310393379319,5000,200
206,0,moon_50,moon-donut,easy,2.4,10,40,50,perm,0.3436381747346181,0.03155883065307408,0.255,0.03361938663769368,23.404805159944225,0.2284710245991763,5000,200
207,0,moon_50,moon-donut,easy,2.4,10,40,50,cshap,0.22992406614413471,0.013669270479746682,0.345,0.03802699871905416,3.4386014243005776,0.09565626380566561,5000,200
208,0,moon_50,moon-donut,hard,1.2,10,40,50,pbfi,0.12528655937122418,0.023094007540207056,0.27999999999999997,0.04507304013896134,0.01494710630213376,0.0014825268954989403,5000,200
209,0,moon_50,moon-donut,hard,1.2,10,40,50,lrp,0.12528655937122418,0.023094007540207056,0.8,0.03077935056255463,0.39469626525242346,0.015857126825685346,5000,200
210,0,moon_50,moon-donut,hard,1.2,10,40,50,impacc,0.19217026022387293,0.02373681101315992,0.41000000000000003,0.044069323379851144,8.613563963852357,0.20225848571028496,5000,200
211,0,moon_50,moon-donut,hard,1.2,10,40,50,split_cloc,0.12528655937122418,0.023094007540207056,0.395,0.0366167922364072,6.548385187154054,0.25468194264472294,5000,200
212,0,moon_50,moon-donut,hard,1.2,10,40,50,cloc,0.10093587511102067,0.01593094409139231,0.61,0.044069323379851144,29.432172091299435,0.24530564751140527,5000,200
213,0,moon_50,moon-donut,hard,1.2,10,40,50,rampart,0.28750522746397544,0.05415769342105583,0.635,0.08683771918748331,75.88408680236607,0.5211427910842669,5000,200
214,0,moon_50,moon-donut,hard,1.2,10,40,50,perm,0.10093587511102067,0.01593094409139231,0.175,0.025,23.82271503705706,0.1845320078114284,5000,200
215,0,moon_50,moon-donut,hard,1.2,10,40,50,cshap,0.09032309507794663,0.014185127097448142,0.225,0.03234273692158639,3.5119075433991385,0.12394800817981935,5000,200
216,0,moon_500,moon-donut,easy,2.4,10,490,500,pbfi,0.1371785965550504,0.01879761044132435,0.49499999999999983,0.05688168699844857,0.07294521574804094,0.00438067758243075,5000,200
217,0,moon_500,moon-donut,easy,2.4,10,490,500,lrp,0.1371785965550504,0.01879761044132435,0.9799999999999999,0.009176629354822469,0.6879935288074194,0.19642373676592648,5000,200
218,0,moon_500,moon-donut,easy,2.4,10,490,500,impacc,0.6460526398930871,0.05450484082960175,0.8150000000000001,0.02835396565598987,8.999193590995855,0.2176418658832349,5000,200
219,0,moon_500,moon-donut,easy,2.4,10,490,500,split_cloc,0.1371785965550504,0.01879761044132435,0.10000000000000002,0.02176428750330035,136.09085518144713,2.858049411731301,5000,200
220,0,moon_500,moon-donut,easy,2.4,10,490,500,cloc,0.0951071550212865,0.01119342655596765,0.4549999999999999,0.04892260267638649,76.8724115613586,1.6833976431277817,5000,200
221,0,moon_500,moon-donut,easy,2.4,10,490,500,rampart,0.641003840351866,0.0716890487138657,0.66,0.05201214433086505,180.40474307214026,4.782444433519627,5000,200
